name,gender,stream,10th_percentage,12th_percentage,numerical_ability,verbal_reasoning,logical_thinking,spatial_awareness,problem_solving,openness,conscientiousness,extraversion,agreeableness,neuroticism,career_1,career_1_score,career_1_courses,career_2,career_2_score,career_3,career_3_score
Girish Korpal,Female,Commerce,65,92,50,93,91,59,100,2.31,3.3,2.81,2.39,3.16,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9853,Economist,0.9853
Priya Oak,Male,Humanities/Arts,82,91,67,100,38,98,68,2.27,3.38,2.82,3.28,3.23,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9471,Historian,0.9471
Keya Dugar,Male,Commerce,97,86,59,39,89,44,45,2.1,2.21,2.18,3.05,3.45,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.997,Economist,0.997
Aryan Parikh,Female,Commerce,95,95,62,81,83,70,47,3.13,2.55,2.18,2.49,2.61,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Bimala Rajagopalan,Male,Humanities/Arts,74,83,68,100,90,39,65,3.09,1.91,3.15,2.73,3.14,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9334,Historian,0.9334
Yug Lad,Male,Science(PCB),98,65,78,77,71,62,88,2.14,3.3,2.61,2.74,2.72,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Amara Tailor,Female,Humanities/Arts,81,94,41,53,66,85,96,2.78,2.92,1.98,2.91,3.02,Social Worker,1.0,,Archaeologist,1.0,Historian,1.0
Inaya Solanki,Male,Science(PCM),80,96,95,93,58,98,83,2.13,2.72,2.04,2.41,2.79,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.9523,Automobile Engineer,0.9523
Hitesh Sachar,Male,Science(PCM),66,90,87,82,100,49,51,2.68,3.04,2.94,2.01,2.95,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.9477,Automobile Engineer,0.9477
Dev Kadakia,Male,Humanities/Arts,93,81,53,84,41,80,59,4.03,4.27,2.78,3.63,2.24,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.8486,Historian,0.8486
Adweta Malhotra,Female,Humanities/Arts,63,95,71,51,51,49,36,1.95,2.72,3.48,3.42,2.05,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.936,Historian,0.936
Chasmum Mahal,Male,Science(PCM),97,89,81,81,63,67,51,2.4,2.98,2.52,3.19,2.64,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.9778,Automobile Engineer,0.9778
Vanya Chanda,Male,Science(PCM),70,92,53,73,43,43,51,2.31,2.42,2.02,2.35,2.32,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.9952,Automobile Engineer,0.9952
Ubika Sankar,Female,Humanities/Arts,76,83,74,62,86,70,49,3.35,2.7,2.97,3.38,3.02,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9326,Historian,0.9326
Balhaar Savant,Female,Science(PCM),81,65,48,52,85,98,88,3.5,2.18,3.15,2.03,2.08,Nuclear Engineer,1.0,,Naval Architect,1.0,Automobile Engineer,1.0
Avi Koshy,Male,Science(PCB),98,61,30,74,72,66,35,2.22,2.17,3.02,2.72,3.12,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Raksha Morar,Male,Science(PCB),94,97,45,60,49,61,82,2.0,2.49,2.7,2.09,3.31,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Wishi D’Alia,Female,Commerce,68,76,82,50,65,51,81,3.43,3.0,2.95,3.14,1.93,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.956,Economist,0.956
Daksha Desai,Male,Humanities/Arts,63,80,30,100,62,40,75,1.95,3.08,2.21,2.57,2.09,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9579,Historian,0.9579
Yadavi Kale,Male,Commerce,88,87,100,33,40,45,75,2.73,3.08,3.46,2.77,2.4,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9848,Economist,0.9848
Urvi Raghavan,Male,Science(PCB),67,96,72,60,61,52,80,3.41,2.73,2.91,2.72,2.55,Medical Doctor (MBBS),1.0,"MBBS, BDS, MD/MS, B.Sc Nursing",Forensic Scientist,0.9653,Geneticist,0.9653
Wakeeta Ganesan,Male,Science(PCB),94,62,76,98,65,31,33,2.14,2.71,2.0,2.07,2.93,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Varsha Pai,Female,Science(PCB),68,75,39,58,55,39,66,3.21,2.68,2.77,2.38,2.97,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Radhika Pandey,Male,Humanities/Arts,82,73,94,100,64,58,68,2.63,2.3,2.54,3.28,3.01,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.975,Historian,0.975
Brijesh Shroff,Female,Commerce,63,70,91,42,83,31,80,2.95,2.92,3.24,3.04,2.01,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.94,Economist,0.94
Kavya Maharaj,Male,Science(PCM),92,90,62,58,48,78,88,2.3,2.57,3.15,2.01,2.59,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.9985,Automobile Engineer,0.9985
Jeevika Dhillon,Female,Science(PCM),68,98,83,61,88,73,89,1.92,2.05,2.64,2.66,2.71,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.9732,Automobile Engineer,0.9732
Rishi Sarraf,Male,Humanities/Arts,72,65,51,87,82,59,65,2.09,3.49,3.04,2.98,2.61,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9259,Historian,0.9259
Tamanna Lalla,Female,Science(PCB),63,93,76,67,38,48,60,2.23,3.36,2.28,3.13,2.7,Medical Doctor (MBBS),1.0,"MBBS, BDS, MD/MS, B.Sc Nursing",Forensic Scientist,0.9428,Geneticist,0.9428
William Iyengar,Male,Science(PCB),81,64,61,89,92,53,54,3.29,2.19,2.6,2.9,2.86,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Rajeshri Sunder,Female,Commerce,77,87,97,40,87,56,57,2.5,3.15,2.43,2.83,3.44,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9762,Economist,0.9762
Amrita Madan,Female,Science(PCB),94,71,68,100,30,77,56,3.46,4.49,2.77,4.08,2.04,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Eiravati Wable,Male,Science(PCM),96,72,49,58,51,95,43,3.31,2.17,3.05,2.24,2.27,Nuclear Engineer,1.0,,Naval Architect,1.0,Automobile Engineer,1.0
Isaiah Sule,Female,Science(PCM),69,91,59,42,43,62,52,2.53,4.1,2.93,3.47,2.48,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.9372,Automobile Engineer,0.9372
Turvi Oza,Male,Commerce,95,78,84,55,39,56,79,3.19,3.12,2.19,3.05,2.31,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9771,Economist,0.9771
Hemang Bhardwaj,Male,Science(PCB),63,97,92,88,40,66,48,2.63,2.44,2.4,3.49,3.06,Medical Doctor (MBBS),1.0,"MBBS, BDS, MD/MS, B.Sc Nursing",Forensic Scientist,0.9651,Geneticist,0.9651
Ekanta Lanka,Male,Science(PCM),81,88,100,52,74,69,70,2.5,2.14,2.13,3.47,2.66,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.9633,Automobile Engineer,0.9633
Nicholas Krishna,Male,Humanities/Arts,67,82,34,51,73,100,46,2.33,2.6,2.31,2.63,3.13,Social Worker,1.0,,Archaeologist,1.0,Historian,1.0
Meera Lalla,Male,Science(PCM),67,67,51,62,70,44,50,2.98,2.88,3.02,3.23,2.06,Nuclear Engineer,1.0,,Naval Architect,1.0,Automobile Engineer,1.0
Eesha Doctor,Male,Humanities/Arts,75,63,31,76,60,100,43,2.69,2.63,3.08,3.5,2.07,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9468,Historian,0.9468
Wishi Grewal,Female,Science(PCB),75,75,81,100,78,75,75,2.31,2.67,2.95,2.8,2.1,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Dayamai Mahal,Female,Humanities/Arts,64,65,54,95,96,32,79,2.34,2.85,2.72,3.08,3.42,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9428,Historian,0.9428
Nitesh Thaman,Male,Commerce,79,76,67,45,47,91,35,2.38,3.45,1.91,3.1,2.11,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9803,Economist,0.9803
Aadhya Saha,Female,Commerce,64,82,97,30,84,81,99,2.26,2.28,2.13,3.04,2.4,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9934,Economist,0.9934
Janaki Tara,Male,Commerce,67,73,100,50,36,80,85,3.12,3.18,3.13,2.72,3.3,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Vinaya Krishnamurthy,Male,Commerce,74,75,91,96,58,56,94,2.24,2.38,2.98,2.36,3.05,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Anvi Rajan,Female,Science(PCB),85,80,80,80,74,98,100,3.14,2.84,2.42,3.25,2.9,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Ishaan Rajagopal,Male,Science(PCM),96,92,84,32,64,72,80,2.71,2.4,3.09,3.06,2.81,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.9775,Automobile Engineer,0.9775
Vedhika Bandi,Female,Science(PCB),80,70,79,51,51,35,37,1.93,3.33,2.18,2.23,2.9,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Charvi Devi,Female,Commerce,95,81,67,93,33,48,49,3.34,2.54,2.7,2.32,3.28,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Amaira Anand,Male,Science(PCM),64,64,45,85,89,87,74,2.25,2.04,2.71,2.27,2.6,Nuclear Engineer,1.0,,Naval Architect,1.0,Automobile Engineer,1.0
Upma Dhawan,Female,Science(PCM),71,74,75,69,59,61,68,3.59,4.31,2.36,3.48,2.81,Nuclear Engineer,1.0,,Naval Architect,1.0,Automobile Engineer,1.0
Pavani Koshy,Female,Humanities/Arts,65,71,89,100,85,47,60,3.09,2.2,2.24,2.15,2.2,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9691,Historian,0.9691
Ekaraj Luthra,Female,Commerce,80,66,45,99,32,97,62,2.37,2.69,2.68,2.02,1.92,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Sudiksha Jain,Female,Science(PCB),62,88,78,83,51,97,33,2.77,2.2,2.65,3.32,2.32,Medical Doctor (MBBS),1.0,"MBBS, BDS, MD/MS, B.Sc Nursing",Forensic Scientist,0.9756,Geneticist,0.9756
Aadi Sundaram,Female,Humanities/Arts,90,79,44,100,30,99,85,3.15,2.47,2.34,3.15,2.27,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9668,Historian,0.9668
Mason Roy,Male,Commerce,66,77,100,52,78,88,40,2.71,2.26,2.77,2.88,2.82,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Pahal Jayaraman,Male,Commerce,70,95,100,89,88,56,63,2.18,2.34,3.16,2.46,2.07,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9769,Economist,0.9769
Keya Bava,Female,Science(PCM),80,77,84,65,87,47,60,2.14,2.87,1.93,2.34,2.14,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.928,Automobile Engineer,0.928
Ishaan Pandit,Male,Humanities/Arts,67,96,33,100,48,98,66,3.37,1.95,2.83,2.36,2.6,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.983,Historian,0.983
Sathvik Tak,Male,Humanities/Arts,79,85,95,89,52,39,38,3.18,2.19,2.4,2.26,2.11,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9845,Historian,0.9845
Hemal Dhawan,Male,Science(PCM),93,86,100,55,71,66,40,2.61,3.31,2.03,2.11,2.57,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.926,Automobile Engineer,0.926
Aradhana Tella,Male,Science(PCB),85,73,88,77,42,71,80,2.67,3.22,3.25,2.82,3.44,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Arin Dhawan,Male,Science(PCM),64,88,100,98,52,100,73,3.23,3.44,3.24,2.38,2.72,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.9117,Automobile Engineer,0.9117
Lakshit Padmanabhan,Female,Commerce,97,91,57,35,34,41,60,2.11,2.22,2.58,2.11,2.44,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Darpan Yohannan,Female,Humanities/Arts,76,80,98,63,87,47,89,3.4,2.83,3.43,2.31,3.41,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9239,Historian,0.9239
Nilima Wagle,Female,Humanities/Arts,74,74,100,49,54,64,33,3.3,4.12,3.87,3.58,3.01,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.8563,Historian,0.8563
Suhani Choudhary,Female,Science(PCB),80,65,49,100,37,65,65,3.39,2.92,2.7,3.2,2.07,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Girish Andra,Female,Science(PCB),93,74,73,83,62,51,83,2.96,2.58,3.15,3.19,2.35,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Joshua Kashyap,Male,Humanities/Arts,96,64,61,73,99,76,36,1.99,2.63,2.62,3.05,2.55,Social Worker,1.0,,Archaeologist,1.0,Historian,1.0
Balendra Hegde,Male,Science(PCB),92,88,48,58,44,39,33,2.43,2.55,2.3,2.35,2.14,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Kritika Hari,Female,Science(PCB),80,91,31,51,79,98,84,1.98,3.33,2.15,2.02,2.17,Medical Doctor (MBBS),1.0,"MBBS, BDS, MD/MS, B.Sc Nursing",Forensic Scientist,0.9661,Geneticist,0.9661
Maanav Kunda,Male,Commerce,64,64,93,39,69,75,90,2.79,3.18,2.2,2.87,2.96,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.987,Economist,0.987
Champak Wason,Male,Science(PCM),76,69,100,98,64,100,81,3.42,3.4,3.1,2.01,2.19,Nuclear Engineer,1.0,,Naval Architect,1.0,Automobile Engineer,1.0
Chasmum Thakkar,Male,Science(PCM),89,75,51,39,53,82,53,3.26,3.04,3.27,3.28,3.31,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.9436,Automobile Engineer,0.9436
Ekbal Dora,Male,Humanities/Arts,76,93,68,86,34,91,73,1.97,1.98,2.41,3.2,3.35,Social Worker,1.0,,Archaeologist,1.0,Historian,1.0
Lakshmi Chhabra,Female,Humanities/Arts,90,72,73,67,30,85,98,2.4,2.15,2.82,2.5,2.4,Social Worker,1.0,,Archaeologist,1.0,Historian,1.0
Dayita Raman,Female,Science(PCB),74,62,67,79,33,96,92,2.14,2.36,3.29,3.09,2.19,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Dev Jayaraman,Male,Commerce,85,88,54,69,75,66,59,2.25,2.73,2.29,2.6,2.53,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Ekanta Srinivas,Female,Science(PCB),80,79,30,61,99,70,59,2.5,2.96,2.27,2.41,1.92,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Keya Sood,Male,Humanities/Arts,70,83,64,89,42,99,94,2.16,2.65,3.47,2.81,1.98,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.949,Historian,0.949
Imaran Butala,Female,Commerce,90,66,90,43,76,69,74,2.83,2.7,2.0,2.85,2.98,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Shaurya Sami,Male,Commerce,88,74,100,55,78,88,71,2.71,2.15,2.59,3.28,2.74,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Christopher Bajwa,Female,Commerce,92,83,51,87,50,91,59,2.45,2.4,2.34,3.31,2.28,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Pranit Bhattacharyya,Female,Commerce,74,73,91,36,78,77,58,2.11,3.11,2.4,3.37,3.04,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9688,Economist,0.9688
Bhavika Mitra,Female,Science(PCB),65,78,85,78,74,55,81,2.69,4.29,3.59,3.29,2.73,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Chameli Anand,Female,Humanities/Arts,96,70,100,81,38,57,35,2.57,3.47,2.87,2.3,2.48,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9856,Historian,0.9856
Sathvik Handa,Female,Science(PCM),88,62,45,60,51,100,35,3.46,3.89,2.79,3.26,2.6,Nuclear Engineer,1.0,,Naval Architect,1.0,Automobile Engineer,1.0
Yuvraj Palla,Female,Humanities/Arts,62,64,46,100,39,41,31,2.06,2.99,3.33,3.35,2.94,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9212,Historian,0.9212
Januja Gara,Female,Humanities/Arts,61,74,51,76,70,65,89,3.07,2.52,2.38,2.96,3.13,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9796,Historian,0.9796
Gauri Solanki,Male,Commerce,68,74,62,67,71,63,100,2.53,2.76,3.3,2.22,2.57,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Ishanvi Kata,Male,Science(PCM),95,77,47,96,75,59,80,2.76,2.34,2.4,2.83,2.08,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.9604,Automobile Engineer,0.9604
Tejas Bali,Female,Science(PCM),91,78,53,96,79,76,62,3.3,3.23,2.6,2.35,2.53,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.9245,Automobile Engineer,0.9245
Wishi Karpe,Female,Commerce,70,80,60,87,89,51,62,1.98,2.33,3.3,3.31,3.41,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9813,Economist,0.9813
Ekiya Joshi,Female,Commerce,78,96,54,72,40,87,71,2.98,3.21,2.37,3.04,2.1,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9959,Economist,0.9959
Nirja Dhillon,Male,Commerce,83,71,99,54,53,92,63,3.18,3.11,2.1,2.92,2.67,Business Development Manager,1.0,,Actuary,1.0,Economist,1.0
Mekhala Kala,Male,Science(PCB),71,94,31,50,67,32,39,3.23,2.99,3.03,3.49,3.35,Medical Doctor (MBBS),1.0,"MBBS, BDS, MD/MS, B.Sc Nursing",Forensic Scientist,0.9256,Geneticist,0.9256
Udyati Sekhon,Male,Commerce,71,69,62,46,54,38,50,2.25,3.2,3.06,2.54,2.7,Chartered Accountant,1.0,"CA Foundation, B.Com, M.Com, MBA Finance",Business Development Manager,0.9985,Economist,0.9985
Harini Mann,Male,Humanities/Arts,80,60,83,59,34,48,57,3.32,2.43,2.06,2.31,2.18,Social Worker,1.0,,Archaeologist,1.0,Historian,1.0
Banjeet Bail,Female,Science(PCM),80,90,95,55,100,100,33,2.17,2.91,2.7,3.39,3.35,Software Engineer,1.0,"B.Tech CSE, B.E. Computer Science, M.Tech, B.Sc Computer Science",Nuclear Engineer,0.9566,Automobile Engineer,0.9566
Reyansh Sha,Male,Humanities/Arts,76,70,38,100,41,66,46,2.64,2.1,1.97,3.47,2.75,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9848,Historian,0.9848
Krishna Yohannan,Male,Humanities/Arts,69,67,83,92,50,46,64,1.98,3.39,3.43,1.93,2.46,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9352,Historian,0.9352
Vedant Chad,Male,Science(PCB),68,69,52,94,47,32,46,2.89,3.44,2.69,2.05,2.71,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Jatin Prasad,Female,Science(PCM),67,69,86,91,100,60,55,3.63,3.73,2.35,2.29,1.62,Nuclear Engineer,1.0,,Naval Architect,1.0,Automobile Engineer,1.0
Shivansh Sachdeva,Male,Science(PCM),72,70,60,37,90,60,95,2.06,2.12,2.93,2.95,2.16,Nuclear Engineer,1.0,,Naval Architect,1.0,Automobile Engineer,1.0
Oeshi Balakrishnan,Male,Science(PCM),68,70,92,64,51,100,43,2.04,2.27,2.87,2.38,2.3,Nuclear Engineer,1.0,,Naval Architect,1.0,Automobile Engineer,1.0
Leena Murty,Male,Science(PCM),94,67,89,59,44,75,81,2.17,3.16,2.44,2.91,2.81,Nuclear Engineer,1.0,,Naval Architect,1.0,Automobile Engineer,1.0
Girik Dugar,Male,Humanities/Arts,75,87,34,98,81,93,69,2.74,3.31,2.78,3.19,2.18,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9164,Historian,0.9164
Ayaan Morar,Female,Science(PCB),86,77,69,62,79,41,89,2.12,2.82,2.26,3.06,3.23,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Ansh Kant,Male,Science(PCB),78,79,47,100,95,78,61,3.45,2.84,3.34,2.24,2.85,Forensic Scientist,1.0,,Nutritionist,1.0,Geneticist,1.0
Vrishti Sarna,Female,Humanities/Arts,70,67,30,100,70,45,43,1.93,3.08,3.25,3.13,3.14,IAS Officer,1.0,"Any Graduation + UPSC Prep, Public Administration, Political Science",Social Worker,0.9198,Historian,0.9198
